Reporter,region,Year,ProductCode,Product Description,usd,tons,usd_kg,tons_esp,tons_usa,tons_can,tons_ita,tons_aus,tons_oth,usd_esp,usd_usa,usd_can,usd_ita,usd_aus,usd_oth,usd_kg_esp,usd_kg_usa,usd_kg_ita,usd_kg_can,usd_kg_aus,usd_kg_oth
Colombia,South America,2022,121410,Lucerne (alfalfa) meal and pellets,1837.57,3918.16,0.469,0.0,0.0,0.0,0.0,0.0,3918.16,0.0,0.0,0.0,0.0,0.0,1837.57,,,,,,0.469
Tunisia,North Africa,2022,121410,Lucerne (alfalfa) meal and pellets,1479.66,7153.16,0.2069,7153.16,0.0,0.0,0.0,0.0,0.0,1479.66,0.0,0.0,0.0,0.0,0.0,0.2069,,,,,
Dominican Republic,Central America and Caribbean,2022,121410,Lucerne (alfalfa) meal and pellets,1363.04,1945.93,0.7005,365.92,88.043,0.0,0.0,0.0,1491.967,280.73,81.15,0.0,0.0,0.0,1001.16,0.7672,0.9217,,,,0.671
Botswana,Sub-Saharan Africa,2022,121410,Lucerne (alfalfa) meal and pellets,1350.48,4281.76,0.3154,0.0,0.0,0.0,0.0,0.0,4281.76,0.0,0.0,0.0,0.0,0.0,1350.48,,,,,,0.3154
Italy,Western Europe,2022,121410,Lucerne (alfalfa) meal and pellets,1328.03,2515.08,0.528,56.632,0.0,0.0,0.0,0.0,2458.448,28.83,0.0,0.0,0.0,0.0,1299.2,0.5091,,,,,0.5285
Bahrain,Middle East,2022,121410,Lucerne (alfalfa) meal and pellets,1240.03,2772.67,0.4472,0.0,533.2,34.3,283.247,0.0,1921.923,0.0,370.47,22.64,156.28,0.0,690.64,,0.6948,0.5517,0.6601,,0.3593
Israel,Middle East,2022,121410,Lucerne (alfalfa) meal and pellets,1171.0,3416.62,0.3427,119.625,0.0,0.0,3119.01,0.0,177.98499999999967,41.0,0.0,0.0,1069.0,0.0,61.0,0.3427,,0.3427,,,0.3427
Malaysia,Southeast Asia,2022,121410,Lucerne (alfalfa) meal and pellets,1078.29,2335.82,0.4616,0.0,666.098,48.68,738.67,214.61,667.7620000000002,0.0,404.79,33.86,264.79,105.01,269.8399999999999,,0.6077,0.3585,0.6956,0.4893,0.4041
New Zealand,Oceania,2022,121410,Lucerne (alfalfa) meal and pellets,1072.03,1038.66,1.0321,0.0,0.0,0.0,0.0,998.156,40.50400000000013,0.0,0.0,0.0,0.0,717.64,354.39,,,,,0.719,8.7495
Panama,Central America and Caribbean,2022,121410,Lucerne (alfalfa) meal and pellets,1045.99,2083.74,0.502,0.0,517.842,0.0,0.0,0.0,1565.8979999999997,0.0,278.33,0.0,0.0,0.0,767.6600000000001,,0.5375,,,,0.4902
Thailand,Southeast Asia,2022,121410,Lucerne (alfalfa) meal and pellets,1024.83,2026.39,0.5057,127.86,594.14,0.0,1262.93,39.424,2.036000000000058,46.73,430.38,0.0,505.9,35.66,6.159999999999968,0.3655,0.7244,0.4006,,0.9045,3.0255
